locationabbr,income,sex,ageyears,race_ethnicity,education,questionid,behavior_pct
AK,15000 - 24999,,,,,Q018,44.45918367346939
AK,15000 - 24999,,,,,Q019,25.423956043956043
AK,15000 - 24999,,,,,Q043,51.69137677609015
AK,15000 - 24999,,,,,Q044,22.03808808808809
AK,15000 - 24999,,,,,Q045,36.01606965174129
AK,15000 - 24999,,,,,Q046,35.194268119374705
AK,15000 - 24999,,,,,Q047,28.208200124558854
AK,25000 - 34999,,,,,Q018,41.80659062103929
AK,25000 - 34999,,,,,Q019,26.649740932642484
AK,25000 - 34999,,,,,Q043,55.22339869281045
AK,25000 - 34999,,,,,Q044,26.08658618376928
AK,25000 - 34999,,,,,Q045,36.6052
AK,25000 - 34999,,,,,Q046,36.11434010152284
AK,25000 - 34999,,,,,Q047,24.283622007131942
AK,35000 - 49999,,,,,Q018,41.492265193370166
AK,35000 - 49999,,,,,Q019,20.15103578154426
AK,35000 - 49999,,,,,Q043,58.203992901508435
AK,35000 - 49999,,,,,Q044,25.678555304740406
AK,35000 - 49999,,,,,Q045,37.234582392776524
AK,35000 - 49999,,,,,Q046,36.13858369098712
AK,35000 - 49999,,,,,Q047,22.55728244837758
AK,50000 - 74999,,,,,Q018,37.64575718015666
AK,50000 - 74999,,,,,Q019,15.409078771695594
AK,50000 - 74999,,,,,Q043,58.37921714818267
AK,50000 - 74999,,,,,Q044,26.92850378787879
AK,50000 - 74999,,,,,Q045,39.159050632911395
AK,50000 - 74999,,,,,Q046,38.69274096385542
AK,50000 - 74999,,,,,Q047,18.55928072717692
AK,75000 or greater,,,,,Q018,37.025209790209786
AK,75000 or greater,,,,,Q019,11.934425062299749
AK,75000 or greater,,,,,Q043,64.03817879292089
AK,75000 or greater,,,,,Q044,28.9857055682685
AK,75000 or greater,,,,,Q045,41.741825384732586
AK,75000 or greater,,,,,Q046,38.0561974944731
AK,75000 or greater,,,,,Q047,15.082539035980993
AK,Less than 15000,,,,,Q018,53.24168012924072
AK,Less than 15000,,,,,Q019,34.38023648648648
AK,Less than 15000,,,,,Q043,48.27207977207977
AK,Less than 15000,,,,,Q044,19.242687453600595
AK,Less than 15000,,,,,Q045,35.12731213872832
AK,Less than 15000,,,,,Q046,29.90798611111111
AK,Less than 15000,,,,,Q047,32.11918742586003
AK,,Female,,,,Q018,37.388244159758855
AK,,Female,,,,Q019,16.424582524271845
AK,,Female,,,,Q043,58.92454094748439
AK,,Female,,,,Q044,24.573796140153647
AK,,Female,,,,Q045,37.687041541916166
AK,,Female,,,,Q046,33.41313637562648
AK,,Female,,,,Q047,22.05453356745246
AK,,Male,,,,Q018,44.13155330344962
AK,,Male,,,,Q019,20.992178770949717
AK,,Male,,,,Q043,59.177094188376756
AK,,Male,,,,Q044,28.973380339260167
AK,,Male,,,,Q045,41.09708222811671
AK,,Male,,,,Q046,41.03944203944204
AK,,Male,,,,Q047,19.439922263183202
AK,,,18-24,,,Q018,46.80090252707581
AK,,,18-24,,,Q019,30.207536764705885
AK,,,18-24,,,Q043,59.90023201856148
AK,,,18-24,,,Q044,34.33125493291239
AK,,,18-24,,,Q045,35.64716981132075
AK,,,18-24,,,Q046,52.325950782997765
AK,,,18-24,,,Q047,16.559406565656566
AK,,,25-34,,,Q018,41.69695945945946
AK,,,25-34,,,Q019,18.745074106364427
AK,,,25-34,,,Q043,61.27019531250001
AK,,,25-34,,,Q044,30.104805401111992
AK,,,25-34,,,Q045,39.20543650793651
AK,,,25-34,,,Q046,41.49610438729198
AK,,,25-34,,,Q047,15.510273431326064
AK,,,35-44,,,Q018,42.37009021512838
AK,,,35-44,,,Q019,16.77292700212615
AK,,,35-44,,,Q043,56.973791102514504
AK,,,35-44,,,Q044,24.106553079947574
AK,,,35-44,,,Q045,35.927564732874465
