locationabbr,income,sex,ageyears,race_ethnicity,education,obesity_pct,total_sample_size,strat_type
AK,"$15,000 - $24,999",,,,,31.94163663345347,4717.0,income
AK,"$25,000 - $34,999",,,,,32.2867709437964,3772.0,income
AK,"$35,000 - $49,999",,,,,32.713885180240325,5243.0,income
AK,"$50,000 - $74,999",,,,,31.984575835475574,7391.0,income
AK,"$75,000 or greater",,,,,30.043756083993877,14382.0,income
AK,Data not reported,,,,,28.986588780534902,10357.0,income
AK,"Less than $15,000",,,,,32.79582958295829,3333.0,income
AL,"$15,000 - $24,999",,,,,38.860828448612736,12795.0,income
AL,"$25,000 - $34,999",,,,,36.74657194994786,7672.0,income
AL,"$35,000 - $49,999",,,,,37.27463666702551,9289.0,income
AL,"$50,000 - $74,999",,,,,36.69016177957533,9890.0,income
AL,"$75,000 or greater",,,,,32.21682022861101,14435.0,income
AL,Data not reported,,,,,31.298663117078533,17279.0,income
AL,"Less than $15,000",,,,,39.95694429594783,9353.0,income
AR,"$15,000 - $24,999",,,,,36.917550239234444,10450.0,income
AR,"$25,000 - $34,999",,,,,35.86699113758536,6883.0,income
AR,"$35,000 - $49,999",,,,,37.69947597137014,7824.0,income
AR,"$50,000 - $74,999",,,,,38.002000764623425,7847.0,income
AR,"$75,000 or greater",,,,,32.86720032840722,9744.0,income
AR,Data not reported,,,,,32.46727577280341,13134.0,income
AR,"Less than $15,000",,,,,41.11232601521022,6969.0,income
AZ,"$15,000 - $24,999",,,,,34.445037531276064,15587.0,income
AZ,"$25,000 - $34,999",,,,,30.62789250842478,11573.0,income
AZ,"$35,000 - $49,999",,,,,30.476504776538178,14969.0,income
AZ,"$50,000 - $74,999",,,,,30.00774936678326,16582.0,income
AZ,"$75,000 or greater",,,,,26.48675369317019,24437.0,income
AZ,Data not reported,,,,,26.826162193267294,24329.0,income
AZ,"Less than $15,000",,,,,34.5646173281398,9499.0,income
CA,"$15,000 - $24,999",,,,,29.71615623313545,14824.0,income
CA,"$25,000 - $34,999",,,,,29.547579724150047,11383.0,income
CA,"$35,000 - $49,999",,,,,26.242891153932,13441.0,income
CA,"$50,000 - $74,999",,,,,26.88617436155491,15898.0,income
CA,"$75,000 or greater",,,,,20.986891277495992,38051.0,income
CA,Data not reported,,,,,22.846551403606618,21516.0,income
CA,"Less than $15,000",,,,,30.917747895087523,16509.0,income
CO,"$15,000 - $24,999",,,,,25.35845140690481,15033.0,income
CO,"$25,000 - $34,999",,,,,24.352108855442776,11428.0,income
CO,"$35,000 - $49,999",,,,,23.502809476556685,16124.0,income
CO,"$50,000 - $74,999",,,,,23.256793738954812,19805.0,income
CO,"$75,000 or greater",,,,,20.357289167058354,40423.0,income
CO,Data not reported,,,,,20.35085349332301,25835.0,income
CO,"Less than $15,000",,,,,27.00690594059406,8080.0,income
CT,"$15,000 - $24,999",,,,,32.879443968389985,10503.0,income
CT,"$25,000 - $34,999",,,,,31.803730583142347,7854.0,income
CT,"$35,000 - $49,999",,,,,30.248121698297787,10222.0,income
CT,"$50,000 - $74,999",,,,,29.307088643849347,13966.0,income
CT,"$75,000 or greater",,,,,23.794865602091267,35194.0,income
CT,Data not reported,,,,,24.269153758227898,25371.0,income
CT,"Less than $15,000",,,,,35.99762606417812,6108.0,income
DC,"$15,000 - $24,999",,,,,33.96554641060814,4374.0,income
DC,"$25,000 - $34,999",,,,,31.294458438287155,2779.0,income
DC,"$35,000 - $49,999",,,,,28.24280089988751,3556.0,income
DC,"$50,000 - $74,999",,,,,21.947065033783783,4736.0,income
DC,"$75,000 or greater",,,,,14.87032779906343,16443.0,income
DC,Data not reported,,,,,21.57795275590551,10287.0,income
DC,"Less than $15,000",,,,,36.18625974724389,3719.0,income
DE,"$15,000 - $24,999",,,,,36.452051972746,6311.0,income
DE,"$25,000 - $34,999",,,,,35.409140347207696,4781.0,income
DE,"$35,000 - $49,999",,,,,33.356712813908565,6212.0,income
DE,"$50,000 - $74,999",,,,,32.83802386899806,7206.0,income
DE,"$75,000 or greater",,,,,29.734274067105673,12756.0,income
DE,Data not reported,,,,,28.939291511505772,10473.0,income
DE,"Less than $15,000",,,,,36.43844162567952,3863.0,income
FL,"$15,000 - $24,999",,,,,31.28947150325131,31372.0,income
FL,"$25,000 - $34,999",,,,,29.793067057160172,19804.0,income
FL,"$35,000 - $49,999",,,,,29.051790341078025,23543.0,income
FL,"$50,000 - $74,999",,,,,28.798250353788756,23319.0,income
