locationabbr,income,sex,ageyears,race_ethnicity,education,obesity_pct,Q018,Q019,Q043,Q044,Q045,Q046,Q047
AK,15000 - 24999,,,,,31.94163663345347,44.45918367346939,25.423956043956043,51.69137677609015,22.03808808808809,36.01606965174129,35.194268119374705,28.208200124558854
AK,25000 - 34999,,,,,32.2867709437964,41.80659062103929,26.649740932642484,55.22339869281045,26.08658618376928,36.6052,36.11434010152284,24.283622007131942
AK,35000 - 49999,,,,,32.713885180240325,41.492265193370166,20.15103578154426,58.203992901508435,25.678555304740406,37.234582392776524,36.13858369098712,22.55728244837758
AK,50000 - 74999,,,,,31.984575835475574,37.64575718015666,15.409078771695594,58.37921714818267,26.92850378787879,39.159050632911395,38.69274096385542,18.55928072717692
AK,75000 or greater,,,,,30.043756083993877,37.025209790209786,11.934425062299749,64.03817879292089,28.9857055682685,41.741825384732586,38.0561974944731,15.082539035980993
AK,Less than 15000,,,,,32.79582958295829,53.24168012924072,34.38023648648648,48.27207977207977,19.242687453600595,35.12731213872832,29.90798611111111,32.11918742586003
AK,,Female,,,,30.745860079629473,37.388244159758855,16.424582524271845,58.92454094748439,24.573796140153647,37.687041541916166,33.41313637562648,22.05453356745246
AK,,Male,,,,30.967839850266508,44.13155330344962,20.992178770949717,59.177094188376756,28.973380339260167,41.09708222811671,41.03944203944204,19.439922263183202
AK,,,18-24,,,18.71745345744681,46.80090252707581,30.207536764705885,59.90023201856148,34.33125493291239,35.64716981132075,52.325950782997765,16.559406565656566
AK,,,25-34,,,28.48288409703504,41.69695945945946,18.745074106364427,61.27019531250001,30.104805401111992,39.20543650793651,41.49610438729198,15.510273431326064
AK,,,35-44,,,34.343815513626836,42.37009021512838,16.77292700212615,56.973791102514504,24.106553079947574,35.927564732874465,35.31722325293754,17.780324381813347
AK,,,45-54,,,36.18855528081951,42.143212951432126,15.978907242693774,58.389958734525436,25.590457589285712,38.73631785114718,34.2764675592173,21.87081232492997
