locationabbr,income,obesity_pct,income_mid,state_median_income,rel_income,state_inc_quintile,rel_income_c,state_inc_c,income_bin
AK,15000 - 24999,31.94163663345347,19999.5,98190,-78190.5,Q5(high),-1.484238772576318,1.2984369893408885,15-24k
AK,25000 - 34999,32.2867709437964,29999.5,98190,-68190.5,Q5(high),-1.090508413463134,1.2984369893408885,25-34k
AK,35000 - 49999,32.713885180240325,42499.5,98190,-55690.5,Q5(high),-0.5983454645716539,1.2984369893408885,35-49k
AK,50000 - 74999,31.984575835475574,62499.5,98190,-35690.5,Q5(high),0.18911525365471407,1.2984369893408885,50-74k
AK,75000 or greater,30.043756083993877,75000.0,98190,-23190.0,Q5(high),0.6812978890641497,1.2984369893408885,50-74k
AK,Less than 15000,32.79582958295829,15000.0,98190,-83190.0,Q5(high),-1.6810842656149543,1.2984369893408885,<15k
AL,15000 - 24999,38.860828448612736,19999.5,60660,-40660.5,Q1(low),-0.006568734824538382,-1.5912847072373024,15-24k
AL,25000 - 34999,36.74657194994786,29999.5,60660,-30660.5,Q1(low),0.3871616242886456,-1.5912847072373024,25-34k
AL,35000 - 49999,37.27463666702551,42499.5,60660,-18160.5,Q1(low),0.8793245731801256,-1.5912847072373024,35-49k
AL,50000 - 74999,36.69016177957533,62499.5,60660,1839.5,Q1(low),1.6667852914064936,-1.5912847072373024,50-74k
AL,75000 or greater,32.21682022861101,75000.0,60660,14340.0,Q1(low),2.1589679268159294,-1.5912847072373024,50-74k
AL,Less than 15000,39.95694429594783,15000.0,60660,-45660.0,Q1(low),-0.20341422786317473,-1.5912847072373024,<15k
AR,15000 - 24999,36.917550239234444,19999.5,63250,-43250.5,Q1(low),-0.10854489783485304,-1.3918608011851437,15-24k
AR,25000 - 34999,35.86699113758536,29999.5,63250,-33250.5,Q1(low),0.28518546127833094,-1.3918608011851437,25-34k
AR,35000 - 49999,37.69947597137014,42499.5,63250,-20750.5,Q1(low),0.7773484101698109,-1.3918608011851437,35-49k
AR,50000 - 74999,38.002000764623425,62499.5,63250,-750.5,Q1(low),1.564809128396179,-1.3918608011851437,50-74k
AR,75000 or greater,32.86720032840722,75000.0,63250,11750.0,Q1(low),2.0569917638056148,-1.3918608011851437,50-74k
AR,Less than 15000,41.11232601521022,15000.0,63250,-48250.0,Q1(low),-0.30539039087348935,-1.3918608011851437,<15k
AZ,15000 - 24999,34.445037531276064,19999.5,82660,-62660.5,Q3,-0.8727755248735432,0.10266352949918041,15-24k
AZ,25000 - 34999,30.62789250842478,29999.5,82660,-52660.5,Q3,-0.47904516576035916,0.10266352949918041,25-34k
AZ,35000 - 49999,30.476504776538178,42499.5,82660,-40160.5,Q3,0.013117783131120818,0.10266352949918041,35-49k
AZ,50000 - 74999,30.00774936678326,62499.5,82660,-20160.5,Q3,0.8005785013574888,0.10266352949918041,50-74k
AZ,75000 or greater,26.48675369317019,75000.0,82660,-7660.0,Q3,1.2927611367669245,0.10266352949918041,50-74k
AZ,Less than 15000,34.5646173281398,15000.0,82660,-67660.0,Q3,-1.0696210179121795,0.10266352949918041,<15k
CA,15000 - 24999,29.71615623313545,19999.5,89870,-69870.5,Q4,-1.1566551137941488,0.6578165652660004,15-24k
CA,25000 - 34999,29.547579724150047,29999.5,89870,-59870.5,Q4,-0.7629247546809649,0.6578165652660004,25-34k
CA,35000 - 49999,26.242891153932,42499.5,89870,-47370.5,Q4,-0.27076180578948483,0.6578165652660004,35-49k
CA,50000 - 74999,26.88617436155491,62499.5,89870,-27370.5,Q4,0.5166989124368832,0.6578165652660004,50-74k
CA,75000 or greater,20.986891277495992,75000.0,89870,-14870.0,Q4,1.008881547846319,0.6578165652660004,50-74k
CA,Less than 15000,30.917747895087523,15000.0,89870,-74870.0,Q4,-1.353500606832785,0.6578165652660004,<15k
CO,15000 - 24999,25.35845140690481,19999.5,96640,-76640.5,Q5(high),-1.4232105669137745,1.1790906362980909,15-24k
CO,25000 - 34999,24.352108855442776,29999.5,96640,-66640.5,Q5(high),-1.0294802078005905,1.1790906362980909,25-34k
CO,35000 - 49999,23.502809476556685,42499.5,96640,-54140.5,Q5(high),-0.5373172589091104,1.1790906362980909,35-49k
CO,50000 - 74999,23.256793738954812,62499.5,96640,-34140.5,Q5(high),0.25014345931725757,1.1790906362980909,50-74k
CO,75000 or greater,20.357289167058354,75000.0,96640,-21640.0,Q5(high),0.7423260947266932,1.1790906362980909,50-74k
CO,Less than 15000,27.00690594059406,15000.0,96640,-81640.0,Q5(high),-1.6200560599524108,1.1790906362980909,<15k
CT,15000 - 24999,32.879443968389985,19999.5,92240,-72240.5,Q4,-1.2499692089039733,0.8403009889507943,15-24k
CT,25000 - 34999,31.803730583142347,29999.5,92240,-62240.5,Q4,-0.8562388497907895,0.8403009889507943,25-34k
CT,35000 - 49999,30.248121698297787,42499.5,92240,-49740.5,Q4,-0.36407590089930947,0.8403009889507943,35-49k
CT,50000 - 74999,29.307088643849347,62499.5,92240,-29740.5,Q4,0.4233848173270585,0.8403009889507943,50-74k
CT,75000 or greater,23.794865602091267,75000.0,92240,-17240.0,Q4,0.9155674527364942,0.8403009889507943,50-74k
CT,Less than 15000,35.99762606417812,15000.0,92240,-77240.0,Q4,-1.4468147019426099,0.8403009889507943,<15k
DC,15000 - 24999,33.96554641060814,19999.5,111000,-91000.5,Q5(high),-1.9886073626003067,2.2847768490042677,15-24k
DC,25000 - 34999,31.294458438287155,29999.5,111000,-81000.5,Q5(high),-1.5948770034871227,2.2847768490042677,25-34k
DC,35000 - 49999,28.24280089988751,42499.5,111000,-68500.5,Q5(high),-1.1027140545956426,2.2847768490042677,35-49k
DC,50000 - 74999,21.947065033783783,62499.5,111000,-48500.5,Q5(high),-0.3152533363692746,2.2847768490042677,50-74k
DC,75000 or greater,14.87032779906343,75000.0,111000,-36000.0,Q5(high),0.17692929904016103,2.2847768490042677,50-74k
DC,Less than 15000,36.18625974724389,15000.0,111000,-96000.0,Q5(high),-2.185452855638943,2.2847768490042677,<15k
DE,15000 - 24999,36.452051972746,19999.5,86340,-66340.5,Q4,-1.0176682970271949,0.38601487091691933,15-24k
DE,25000 - 34999,35.409140347207696,29999.5,86340,-56340.5,Q4,-0.6239379379140109,0.38601487091691933,25-34k
DE,35000 - 49999,33.356712813908565,42499.5,86340,-43840.5,Q4,-0.1317749890225309,0.38601487091691933,35-49k
DE,50000 - 74999,32.83802386899806,62499.5,86340,-23840.5,Q4,0.655685729203837,0.38601487091691933,50-74k
DE,75000 or greater,29.734274067105673,75000.0,86340,-11340.0,Q4,1.1478683646132728,0.38601487091691933,50-74k
DE,Less than 15000,36.43844162567952,15000.0,86340,-71340.0,Q4,-1.2145137900658312,0.38601487091691933,<15k
FL,15000 - 24999,31.28947150325131,19999.5,72200,-52200.5,Q1(low),-0.4609335692411527,-0.7027318594218928,15-24k
FL,25000 - 34999,29.793067057160172,29999.5,72200,-42200.5,Q1(low),-0.06720321012796872,-0.7027318594218928,25-34k
FL,35000 - 49999,29.051790341078025,42499.5,72200,-29700.5,Q1(low),0.4249597387635113,-0.7027318594218928,35-49k
FL,50000 - 74999,28.798250353788756,62499.5,72200,-9700.5,Q1(low),1.2124204569898793,-0.7027318594218928,50-74k
FL,75000 or greater,24.614982791162433,75000.0,72200,2800.0,Q1(low),1.704603092399315,-0.7027318594218928,50-74k
FL,Less than 15000,31.956234664287305,15000.0,72200,-57200.0,Q1(low),-0.657779062279789,-0.7027318594218928,<15k
